Timestamp,Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Chocolate],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Cookie Dough],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Mango Sorbet],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Mint chip],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Moose tracks],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Oreo],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Raspberry sorbet],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Salted Caramel],Rank the ice cream flavors you'd like to see at a summer ice cream social. You can place one vote per row (flavor) and one vote per column (ranking). Rankings go from 1 (most favorite) to 9 (least favorite). You can leave rows or columns blank if you wish. [Vanilla]
Record 0,5,,,,,,,,
Record 1,5,9,4,6,,3,,1,
Record 2,,,4,7,6,,,,3
Record 3,5,2,,,4,3,7,,6
Record 4,2,7,5,3,4,9,1,8,6
Record 5,2,,8,,,3,,,7
Record 6,,6,,5,8,,9,2,
Record 7,,6,7,3,5,,8,9,
Record 8,9,3,4,6,1,2,8,7,5
Record 9,5,2,1,4,3,7,9,6,8
Record 10,2,,,,,,,,
Record 11,5,,,,,,,,
Record 12,,,,4,1,2,3,5,8
Record 13,5,1,7,8,3,6,2,9,4
Record 14,8,4,3,5,,9,2,,6
Record 15,2,5,6,1,9,4,7,8,3
Record 16,4,6,9,2,8,7,1,3,5
Record 17,4,6,2,1,8,9,7,5,3
Record 18,7,,6,8,,3,4,1,5
Record 19,,,,,,6,,,1
Record 20,9,5,3,4,7,1,6,8,2
Record 21,5,8,4,2,7,1,6,3,9
Record 22,5,1,8,2,9,7,6,4,3
Record 23,8,2,1,7,9,4,3,6,5
Record 24,,6,,,,3,4,,
Record 25,6,4,2,9,3,1,8,5,7
Record 26,5,,2,8,,3,4,1,7
Record 27,6,8,3,2,7,5,9,4,1
Record 28,8,4,6,2,9,5,7,1,3
Record 29,,8,6,,,,7,,
Record 30,9,2,4,1,8,5,7,6,3
Record 31,5,,,,,,,,
Record 32,2,1,6,3,4,5,9,7,8
Record 33,2,8,3,1,4,6,5,9,7
Record 34,,,8,1,,,,,
Record 35,7,2,4,8,5,3,6,1,9
Record 36,5,6,9,1,2,8,7,4,3
Record 37,2,7,6,4,5,3,1,9,8
Record 38,2,5,3,6,4,9,8,1,7
Record 39,,,1,2,6,3,,,
Record 40,8,3,2,7,6,9,1,5,4
Record 41,7,5,,6,,8,1,,
Record 42,7,2,8,9,3,4,1,5,6
Record 43,,,,,,,,5,
